지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
106,동해,2020-01-01,-2.6,6.1,,2.9,36.8,9.6,,0
106,동해,2020-01-02,-1.5,7.8,,2.7,43.3,9.6,,.9
106,동해,2020-01-03,2.9,9.9,,3.2,29.4,9.7,,1
106,동해,2020-01-04,2.2,9.2,,3,29.9,9.7,,.9
106,동해,2020-01-05,-.2,8.8,,1.5,50.9,9.7,,1.9
106,동해,2020-01-06,.7,9.1,.1,1.2,53.4,9.7,,8.9
106,동해,2020-01-07,4.6,7.6,42.4,.7,98.8,9.7,,10
106,동해,2020-01-08,4.9,11.4,4.7,3.4,75,9.7,,5.6
106,동해,2020-01-09,1.5,6.6,,2.5,47.8,9.7,,1.4
106,동해,2020-01-10,.4,9.1,,1.7,49,9.8,,2
106,동해,2020-01-11,1,7.7,,2.4,40.3,9.8,,3.4
106,동해,2020-01-12,.6,7.2,,2.1,41.4,9.8,,5.3
106,동해,2020-01-13,-.7,5.4,,2.8,30.8,9.8,,.4
106,동해,2020-01-14,-2.1,4.8,,2.5,31.8,9.8,,2
106,동해,2020-01-15,-2.2,6,,2.1,32.4,9.9,,.1
106,동해,2020-01-16,-2.8,6.5,,1.7,39.1,9.9,,4.1
106,동해,2020-01-17,-1.3,6.6,.2,1.7,62.5,9.9,,7
106,동해,2020-01-18,1.5,7.1,6.3,1.3,80.4,9.9,,6.5
106,동해,2020-01-19,.7,6.2,,1.9,45.4,9.9,,4.5
106,동해,2020-01-20,0,6.9,,2.3,36.3,10,,.9
106,동해,2020-01-21,-1.5,6,,2.1,47.6,10,,2.3
106,동해,2020-01-22,1.9,8.9,,1.1,37.8,10,,9
106,동해,2020-01-23,3,10.5,,1.6,60.6,10.1,,5.8
106,동해,2020-01-24,3.4,7.6,10.7,1.8,79,10.1,,7.9
106,동해,2020-01-25,2.3,9.6,.1,1.5,81,10.1,,7.4
106,동해,2020-01-26,3.4,7,3.6,2.8,75.9,10.1,,8.9
106,동해,2020-01-27,5.8,7.6,11.1,5.2,71.5,10.2,,10
106,동해,2020-01-28,5.6,7.7,9.3,5.3,70.6,10.2,,9.3
106,동해,2020-01-29,4.3,7.2,.7,2.7,70.8,10.2,,8.3
106,동해,2020-01-30,1.4,6,8.7,3.7,81.9,10.3,,9.4
106,동해,2020-01-31,-.6,6.2,0,1.9,81.5,10.3,,5.1
106,동해,2020-02-01,.2,8.7,,2.1,52.3,10.3,,0
106,동해,2020-02-02,.6,8.9,,1.5,50.1,10.4,,3.5
106,동해,2020-02-03,-.1,6.8,,3,33.6,10.4,,.8
106,동해,2020-02-04,-2.5,7.1,0,1.8,35.6,10.4,,1.9
106,동해,2020-02-05,-4.1,3.4,,3.6,28.3,10.5,,.9
106,동해,2020-02-06,-6.2,2.7,.4,2,67.9,10.5,,5.3
106,동해,2020-02-07,-3.9,7.2,,1.9,37.9,10.5,,.8
106,동해,2020-02-08,-.8,5.3,15.2,3.6,58.3,10.6,,3.6
106,동해,2020-02-09,-4.5,6.3,.1,1.7,58.4,10.6,,3.3
106,동해,2020-02-10,.3,6.7,,2.9,50.5,10.6,,.5
106,동해,2020-02-11,-.2,12.7,,2.2,49.3,10.7,,2.4
106,동해,2020-02-12,5.9,10.3,4.5,.9,74.8,10.7,,8.3
106,동해,2020-02-13,6.9,15.4,,1.9,71.9,10.7,,2
106,동해,2020-02-14,5.4,12.7,,1.7,64,10.8,,5.6
106,동해,2020-02-15,6.8,12.9,0,2.9,78.5,10.8,,8.1
