지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
106,동해,2018-01-01,-.2,6.4,,3.4,20.3,9.6,,
106,동해,2018-01-02,1,7.5,,3.2,23.6,9.7,,
106,동해,2018-01-03,-2.3,4.1,,1.9,31.6,9.7,,
106,동해,2018-01-04,-2.7,4.6,,1.9,49.6,9.7,,
106,동해,2018-01-05,-1.2,8.2,,1.7,42.9,9.7,,
106,동해,2018-01-06,.2,6.1,,2.8,34.4,9.7,,
106,동해,2018-01-07,-2.5,8.1,,1.3,30.8,9.7,,
106,동해,2018-01-08,2.5,9.1,0,2,52.6,9.7,,
106,동해,2018-01-09,-1.5,3.2,0,4.5,33.5,9.8,,
106,동해,2018-01-10,-6.5,.1,,3.4,28.6,9.8,,
106,동해,2018-01-11,-8.2,-1.5,,3.1,27.5,9.8,,
106,동해,2018-01-12,-9.3,-.5,,2.8,24.3,9.8,,
106,동해,2018-01-13,-3.6,5,,2.5,40.4,9.8,,
106,동해,2018-01-14,-3.4,7.3,,1.6,45.4,9.8,,
106,동해,2018-01-15,4.5,13.3,,2.2,42.8,9.9,,
106,동해,2018-01-16,4.5,11.1,0,1.8,48.8,9.9,,
106,동해,2018-01-17,3.1,8.8,4.4,2,83.4,9.9,,
106,동해,2018-01-18,3.8,9,,2.3,44.6,9.9,,
106,동해,2018-01-19,.6,8.5,,1.4,37.1,10,,
106,동해,2018-01-20,1.4,8,,2.1,41.8,10,,
106,동해,2018-01-21,.1,6.5,,2.2,39.5,10,,
106,동해,2018-01-22,.3,6.7,0,1.9,58.1,10,,
106,동해,2018-01-23,-9,2.9,,4.7,25.9,10.1,,
106,동해,2018-01-24,-12.1,-5.4,,3.8,18.9,10.1,,
106,동해,2018-01-25,-12,-1.6,,2.7,23,10.1,,
106,동해,2018-01-26,-12.4,-3.2,,2.4,25.8,10.1,,
106,동해,2018-01-27,-9.2,2.3,,1.7,35.4,10.2,,
106,동해,2018-01-28,-3.3,4,,2.7,22.8,10.2,,
106,동해,2018-01-29,-6.8,-.5,,3.1,20.8,10.2,,
106,동해,2018-01-30,-6.8,3.3,,2.6,32.5,10.3,,
106,동해,2018-01-31,-1.3,4.4,,1.8,33.8,10.3,,
106,동해,2018-02-01,-3.8,3.5,,2,44.4,10.3,,
106,동해,2018-02-02,-4.5,5.2,,3,58.8,10.4,,
106,동해,2018-02-03,-5.6,3.2,,2.9,35.9,10.4,,
106,동해,2018-02-04,-6.5,.2,,3.4,26.6,10.4,,
106,동해,2018-02-05,-8,-1.6,,3,22.4,10.5,,
106,동해,2018-02-06,-10.3,-1.6,,2.7,25.8,10.5,,
106,동해,2018-02-07,-9.7,1.3,,2.1,27.5,10.5,,
106,동해,2018-02-08,-5.2,5.6,,1.8,25,10.6,,
106,동해,2018-02-09,-2.9,8.7,,1.3,44.3,10.6,,
106,동해,2018-02-10,-2,9.8,,2.6,31,10.6,,
106,동해,2018-02-11,-5.2,.2,,3.8,26.5,10.7,,
106,동해,2018-02-12,-6.5,1.8,,3.2,28.5,10.7,,
106,동해,2018-02-13,-4.2,6.7,,2.6,32.8,10.7,,
106,동해,2018-02-14,1.8,12,,3.6,39.4,10.8,,
106,동해,2018-02-15,-1.7,5.4,,2.5,55.5,10.8,,
106,동해,2018-02-16,-3.1,8.9,,2,37.3,10.9,,
106,동해,2018-02-17,-1.2,3.5,,3.1,30.5,10.9,,
106,동해,2018-02-18,-1.3,4.5,,1.3,32.5,10.9,,
106,동해,2018-02-19,-.1,7.8,,1.3,41.9,11,,
106,동해,2018-02-20,.7,7.6,,1.6,36.8,11,,
106,동해,2018-02-21,-2.1,4.2,,2.4,38.3,11.1,,
106,동해,2018-02-22,-.8,8.4,,2.2,32.4,11.1,,
106,동해,2018-02-23,.6,10.7,.2,2.4,42.1,11.1,,
106,동해,2018-02-24,.9,9.6,.7,2.8,77,11.2,,
106,동해,2018-02-25,1.4,7.7,,1.9,79.9,11.2,,
106,동해,2018-02-26,.5,6.2,,2.8,69.1,11.2,,
106,동해,2018-02-27,-.7,8.2,,1.4,78.4,11.3,,
106,동해,2018-02-28,4.7,7.3,52.5,3.2,92.8,11.3,,
106,동해,2018-03-01,.7,7.9,2.8,4.2,49.4,11.4,,
106,동해,2018-03-02,-2.4,8.1,,2.1,42.9,11.4,,
106,동해,2018-03-03,2.7,14.9,,1.7,45.1,11.4,,
106,동해,2018-03-04,6,19.2,10.7,2.7,70.4,11.5,,
106,동해,2018-03-05,.6,6.1,32.5,4.4,87.3,11.5,,
106,동해,2018-03-06,-.8,7.5,,1.3,72.6,11.6,,
106,동해,2018-03-07,3.1,7,1,2.4,77,11.6,,
106,동해,2018-03-08,1.4,4.6,16.8,2.5,93.1,11.6,,
106,동해,2018-03-09,.3,4.3,2.9,2.2,85.5,11.7,,
106,동해,2018-03-10,-.9,10.6,,1.8,68.6,11.7,,
106,동해,2018-03-11,2.8,10.4,,3.2,62.4,11.8,,
106,동해,2018-03-12,1,14,,1.7,67.5,11.8,,
106,동해,2018-03-13,9.5,22.4,,2.5,33.6,11.8,,
106,동해,2018-03-14,11.9,20.3,,2,54.9,11.9,,
106,동해,2018-03-15,3.6,19.6,3.6,2.9,74.1,11.9,,
106,동해,2018-03-16,1,3.9,0,4.2,63.1,12,,
106,동해,2018-03-17,-1.3,9.3,,2,69.5,12,,
106,동해,2018-03-18,6.1,12.3,0,1,59.5,12,,
106,동해,2018-03-19,5.9,10,16.6,2.4,77.5,12.1,,
106,동해,2018-03-20,2.2,6,,5.7,58.1,12.1,,
106,동해,2018-03-21,1.4,3.3,8.5,5.2,83.1,12.2,,
106,동해,2018-03-22,.3,8.2,,2.3,60.1,12.2,,
106,동해,2018-03-23,1.6,10.8,,1.7,63.8,12.3,,
106,동해,2018-03-24,8.5,17.5,,2.9,36.4,12.3,,
106,동해,2018-03-25,10.8,21.9,,2.9,26,12.3,,
106,동해,2018-03-26,13,21.8,,2.6,35.6,12.4,,
106,동해,2018-03-27,13.8,23.7,,3,34.1,12.4,,
106,동해,2018-03-28,16.6,25.4,,3.1,35.1,12.4,,
106,동해,2018-03-29,9.2,19.5,,2.7,56.9,12.5,,
106,동해,2018-03-30,5.5,12.6,,2.9,65.5,12.5,,
106,동해,2018-03-31,6.7,25.4,,1.3,59.1,12.6,,
106,동해,2018-04-01,12.3,18.9,,1.2,60.3,12.6,,
106,동해,2018-04-02,13.5,24.5,,1.9,51.8,12.7,,
106,동해,2018-04-03,10.3,21.8,0,3.1,64.8,12.7,,
106,동해,2018-04-04,5.6,10.4,26.8,2.6,90.4,12.7,,
106,동해,2018-04-05,6.2,8,6.2,1.5,87,12.8,,
106,동해,2018-04-06,5.6,11.9,11,2.7,72.8,12.8,,
106,동해,2018-04-07,2.3,9.3,0,4.3,45.3,12.8,,
106,동해,2018-04-08,3.6,11.6,.1,3.2,51.1,12.9,,
106,동해,2018-04-09,3.9,12.4,0,2,61.8,12.9,,
106,동해,2018-04-10,5.8,25.5,,2.7,46.3,13,,
106,동해,2018-04-11,14.4,22.1,1.6,4.1,28.6,13,,
106,동해,2018-04-12,8.4,22.9,,2.3,33.6,13,,
106,동해,2018-04-13,7.7,15.1,,2.2,58.9,13.1,,
106,동해,2018-04-14,6.9,11.4,16,1.9,87.1,13.1,,
106,동해,2018-04-15,7.2,15.5,.1,2.4,62.6,13.1,,
106,동해,2018-04-16,8.1,14.3,0,2.4,61.4,13.2,,
106,동해,2018-04-17,6.7,16.3,,1.8,70.4,13.2,,
106,동해,2018-04-18,11.6,20.5,,2.5,42,13.3,,
106,동해,2018-04-19,14.8,27.3,,1.8,30.4,13.3,,
106,동해,2018-04-20,14.4,21.1,,1.3,52.4,13.3,,
106,동해,2018-04-21,16.3,29.6,,1.3,38.8,13.4,,
106,동해,2018-04-22,10,22.3,.1,3.9,57.9,13.4,,
106,동해,2018-04-23,8,10.9,50.1,2.8,93.6,13.5,,
106,동해,2018-04-24,8.7,10.3,19.8,3.5,85.8,13.5,,
106,동해,2018-04-25,3.9,14.7,,1.7,63.8,13.5,,
106,동해,2018-04-26,7,23.9,,1.8,49.3,13.6,,
106,동해,2018-04-27,8.4,19.9,,4,53.9,13.6,,
106,동해,2018-04-28,7.6,26.7,,1.8,41.3,13.6,,
106,동해,2018-04-29,17.1,27.2,,2.7,24.9,13.7,,
106,동해,2018-04-30,13.5,27.2,,2.8,44.6,13.7,,
106,동해,2018-05-01,11.1,16.8,,1.5,82.5,13.7,,
106,동해,2018-05-02,8.3,14.2,18.8,2.8,91.3,13.8,,
106,동해,2018-05-03,5.7,17.7,2.9,3.5,61.6,13.8,,
106,동해,2018-05-04,11.5,23.2,,5.1,29.4,13.8,,
106,동해,2018-05-05,14.7,26.9,,2.5,36,13.9,,
106,동해,2018-05-06,13.7,21.6,3.7,2.1,87.5,13.9,,
106,동해,2018-05-07,12.9,16,.2,1.7,90,13.9,,
106,동해,2018-05-08,10.3,13.8,2.9,3.6,90.4,14,,
106,동해,2018-05-09,8.5,12,,3.5,77.8,14,,
106,동해,2018-05-10,7.1,19.9,,2,70.3,14,,
106,동해,2018-05-11,15.8,24.7,,1.8,50.4,14.1,,
106,동해,2018-05-12,13.5,19.9,2.3,1.4,77.3,14.1,,
106,동해,2018-05-13,14.1,18.9,.1,1.4,83.8,14.1,,
106,동해,2018-05-14,15.5,24.4,,1.5,61.5,14.2,,
106,동해,2018-05-15,17.9,26.9,,1.2,52.5,14.2,,
106,동해,2018-05-16,18.7,25.1,1.2,1.3,77.8,14.2,,
106,동해,2018-05-17,13,27.4,1.6,2.3,83.5,14.2,,
106,동해,2018-05-18,10.6,13.5,18,3.5,90,14.3,,
106,동해,2018-05-19,9.2,16,,2.1,75.8,14.3,,
106,동해,2018-05-20,7.2,16.4,,2.3,83.5,14.3,,
106,동해,2018-05-21,8.1,16.9,,1.4,82.4,14.3,,
106,동해,2018-05-22,9.9,17.4,3.5,1.4,90.3,14.4,,
106,동해,2018-05-23,11.1,19.1,.4,2,79.4,14.4,,
106,동해,2018-05-24,11,29.1,,2.6,36.6,14.4,,
106,동해,2018-05-25,15.8,25.4,,2.3,49.6,14.4,,
106,동해,2018-05-26,14,20,,3.1,81.9,14.5,,
106,동해,2018-05-27,13.9,17.9,,1.7,90.6,14.5,,
106,동해,2018-05-28,15,19.2,,1.7,86.6,14.5,,
106,동해,2018-05-29,16.1,19.7,0,1.2,93.3,14.5,,
106,동해,2018-05-30,15.6,22.8,8,2.3,87,14.5,,
106,동해,2018-05-31,13.2,24.3,,2.6,74.8,14.6,,
106,동해,2018-06-01,16.6,26.3,,1.6,61.1,14.6,,
106,동해,2018-06-02,18.5,28.6,,1.6,59.6,14.6,,
106,동해,2018-06-03,20.2,28.8,,1.4,46.9,14.6,,
106,동해,2018-06-04,17.8,26.2,0,1.2,54,14.6,,
106,동해,2018-06-05,19.1,25.9,0,1.9,66.3,14.6,,
106,동해,2018-06-06,17.8,25.7,,1.4,68.3,14.7,,
106,동해,2018-06-07,17.4,26.4,,.8,69.5,14.7,,
106,동해,2018-06-08,18.2,27,,2.4,72.9,14.7,,
106,동해,2018-06-09,16.5,19.3,0,1.6,85.4,14.7,,
106,동해,2018-06-10,15.1,18.2,1.5,1.3,88.5,14.7,,
106,동해,2018-06-11,15,17.9,.1,1.8,80.1,14.7,,
106,동해,2018-06-12,13.9,18.8,,3.2,73.8,14.7,,
106,동해,2018-06-13,14.2,20,0,1.4,80.1,14.7,,
106,동해,2018-06-14,17,18.9,,3.3,80,14.7,,
106,동해,2018-06-15,15.8,20.2,,1.2,76.6,14.7,,
106,동해,2018-06-16,14.1,20.3,,1.3,74,14.7,,
106,동해,2018-06-17,12.8,20.4,,.9,83.9,14.8,,
106,동해,2018-06-18,15.5,22.1,,.9,88,14.8,,
106,동해,2018-06-19,16.7,24.6,,1,75.8,14.8,,
106,동해,2018-06-20,18.3,25.3,,2.1,66.1,14.8,,
106,동해,2018-06-21,17.6,27,,2,55.3,14.8,,
106,동해,2018-06-22,16.7,29.9,,1.9,45.3,14.8,,
106,동해,2018-06-23,21.4,29.9,,1.6,45.8,14.8,,
106,동해,2018-06-24,23.9,33.2,,1.8,45.1,14.8,,
106,동해,2018-06-25,21.1,27.8,,1.4,65,14.8,,
106,동해,2018-06-26,18.7,23.7,24.6,1.2,96.1,14.8,,
106,동해,2018-06-27,18.6,28.2,0,1.6,86,14.8,,
106,동해,2018-06-28,18.9,27,10.4,1.5,84.3,14.7,,
106,동해,2018-06-29,19.6,28.9,,1.5,78.1,14.7,,
106,동해,2018-06-30,20.4,25.6,,.8,84,14.7,,
106,동해,2018-07-01,19.6,22.8,65.3,.9,97.1,14.7,,
