구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,power
동해하수종말처리장 태양광,2018-03-25,0,0,0,0,0,0,20,308,841,1325,416,392,488,625,1748,1415,923,329,22,0,0,0,0,0,8852
동해하수종말처리장 태양광,2018-03-26,0,0,0,0,0,0,20,293,799,1273,414,328,401,455,1615,1271,815,295,22,0,0,0,0,0,8001
동해하수종말처리장 태양광,2018-03-27,0,0,0,0,0,0,20,310,815,1273,396,373,416,369,1591,1289,781,259,20,0,0,0,0,0,7912
동해하수종말처리장 태양광,2018-03-28,0,0,0,0,0,0,31,263,781,1242,391,313,315,317,1240,540,245,113,4,0,0,0,0,0,5795
동해하수종말처리장 태양광,2018-03-29,0,0,0,0,0,0,18,189,398,713,367,320,311,317,317,1044,754,286,20,0,0,0,0,0,5054
동해하수종말처리장 태양광,2018-03-30,0,0,0,0,0,0,31,308,790,1278,398,409,473,491,1705,1334,824,310,27,0,0,0,0,0,8378
동해하수종말처리장 태양광,2018-03-31,0,0,0,0,0,0,31,279,662,1116,389,315,320,313,1179,1130,700,270,25,0,0,0,0,0,6729
동해하수종말처리장 태양광,2018-04-01,0,0,0,0,0,0,0,31,65,65,94,214,304,317,315,340,626,221,22,0,0,0,0,0,2614
동해하수종말처리장 태양광,2018-04-02,0,0,0,0,0,0,34,301,743,1186,394,315,313,313,1269,774,756,310,29,0,0,0,0,0,6737
동해하수종말처리장 태양광,2018-04-03,0,0,0,0,0,0,36,304,749,1197,392,316,322,313,1359,871,398,185,7,0,0,0,0,0,6449
동해하수종말처리장 태양광,2018-04-04,0,0,0,0,0,0,0,20,76,113,146,168,247,266,184,184,47,0,0,0,0,0,0,0,1451
동해하수종말처리장 태양광,2018-04-05,0,0,0,0,0,0,0,20,77,121,279,189,198,232,239,171,79,27,0,0,0,0,0,0,1632
동해하수종말처리장 태양광,2018-04-06,0,0,0,0,0,0,0,29,191,859,414,328,427,398,531,1283,859,383,40,0,0,0,0,0,5742
동해하수종말처리장 태양광,2018-04-07,0,0,0,0,0,0,23,148,500,1235,391,322,317,326,337,329,608,425,23,0,0,0,0,0,4984
동해하수종말처리장 태양광,2018-04-08,0,0,0,0,0,0,58,452,1028,1503,419,317,329,319,310,326,558,293,5,0,0,0,0,0,5917
동해하수종말처리장 태양광,2018-04-09,0,0,0,0,0,0,67,434,985,1476,466,470,576,454,1688,1415,733,238,59,0,0,0,0,0,9061
동해하수종말처리장 태양광,2018-04-10,0,0,0,0,0,0,79,396,704,729,344,324,396,428,315,331,765,419,85,0,0,0,0,0,5315
동해하수종말처리장 태양광,2018-04-11,0,0,0,0,0,0,65,396,994,1514,457,493,599,671,1838,1462,977,459,61,0,0,0,0,0,9986
동해하수종말처리장 태양광,2018-04-12,0,0,0,0,0,0,81,452,959,1422,439,506,598,637,1802,1471,994,448,59,0,0,0,0,0,9868
동해하수종말처리장 태양광,2018-04-13,0,0,0,0,0,0,113,360,774,1105,383,325,367,409,319,340,499,148,11,0,0,0,0,0,5153
동해하수종말처리장 태양광,2018-04-14,0,0,0,0,0,0,0,7,29,65,56,111,234,274,279,194,94,27,0,0,0,0,0,0,1370
동해하수종말처리장 태양광,2018-04-15,0,0,0,0,0,0,54,430,1012,1480,446,422,418,326,1571,1273,747,277,31,0,0,0,0,0,8487
동해하수종말처리장 태양광,2018-04-16,0,0,0,0,0,0,88,482,1028,1507,475,518,574,661,1827,1485,981,434,74,0,0,0,0,0,10134
동해하수종말처리장 태양광,2018-04-17,0,0,0,0,0,0,104,362,788,1242,436,412,486,562,1717,1226,934,416,65,0,0,0,0,0,8750
동해하수종말처리장 태양광,2018-04-18,0,0,0,0,0,0,97,490,1019,1429,425,512,560,621,1746,1310,882,405,74,0,0,0,0,0,9570
