瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
159,何魂,2018-01-01,-1.1,7.4,,2.7,32,9.9,11.66,0
159,何魂,2018-01-02,-.3,9.4,,2.2,39.6,9.9,9.87,1.9
159,何魂,2018-01-03,-.2,6.9,,2.8,24.5,9.9,11.39,3.6
159,何魂,2018-01-04,-1.7,7.7,,2.3,38.3,9.9,7.82,7.4
159,何魂,2018-01-05,.7,9.7,.8,2.6,46.6,9.9,9.6,3.8
159,何魂,2018-01-06,-.8,8.5,,3,33.6,9.9,11.67,.4
159,何魂,2018-01-07,.4,9.4,.1,1.2,48,9.9,4.48,7.8
159,何魂,2018-01-08,4.3,7.4,6.4,2.8,83.6,9.9,1.47,9.4
159,何魂,2018-01-09,.1,4.7,,6.6,47,9.9,11.31,3.4
159,何魂,2018-01-10,-4.8,2.5,.2,4.1,51.9,10,9.68,2.1
159,何魂,2018-01-11,-7.4,0,,4.3,42.6,10,12.36,0
159,何魂,2018-01-12,-9.4,.1,,3.1,34.5,10,12.67,0
159,何魂,2018-01-13,-5.7,5.6,,2.1,46.3,10,10.34,.6
159,何魂,2018-01-14,-1.1,9.1,,1.7,60.5,10,8.64,3.6
159,何魂,2018-01-15,4.2,14,.1,3.9,62.4,10.1,11.72,2.1
159,何魂,2018-01-16,5.5,11,27.6,3.1,84.4,10.1,1.12,9.5
159,何魂,2018-01-17,5.4,8.3,5.4,2.8,90.5,10.1,3.47,6.3
159,何魂,2018-01-18,4.1,11.6,,3.2,67.8,10.1,10.14,3.1
159,何魂,2018-01-19,1.8,11.9,,3.4,39,10.1,11.58,.9
159,何魂,2018-01-20,.7,10.5,,3.4,36.5,10.2,11.07,.6
159,何魂,2018-01-21,2.1,11.5,,2.3,38.3,10.2,9.08,5.8
159,何魂,2018-01-22,4.7,7.6,.3,3.1,62.4,10.2,5.4,6.9
159,何魂,2018-01-23,-5.4,6.1,,4.4,36.3,10.2,12.79,1.3
159,何魂,2018-01-24,-9.8,-2.2,,3.7,29.8,10.3,13.15,1.3
159,何魂,2018-01-25,-9.8,.2,,3.6,22.3,10.3,13.87,5.5
159,何魂,2018-01-26,-9.9,.3,,2.8,23.9,10.3,14.16,1.5
159,何魂,2018-01-27,-8.6,5.4,,2.4,24.5,10.3,13.77,2.5
159,何魂,2018-01-28,-1,5.5,,3,30.5,10.4,11.42,5.8
159,何魂,2018-01-29,-6,2.4,,2.7,33,10.4,13.48,1
159,何魂,2018-01-30,-6.8,3,,3.2,34,10.4,13.33,4.1
159,何魂,2018-01-31,-3.4,6.8,,2.7,39.9,10.5,8.96,7.1
159,何魂,2018-02-01,-.6,9.4,,2.5,33.5,10.5,13.04,.1
159,何魂,2018-02-02,-.8,7.4,,2.7,25.3,10.5,9.77,6.5
159,何魂,2018-02-03,-4.8,4.3,,4.2,28.8,10.5,14.36,0
159,何魂,2018-02-04,-8,-.2,,4.4,30.5,10.6,15.09,0
159,何魂,2018-02-05,-8,1.5,,4.1,30,10.6,14.71,0
159,何魂,2018-02-06,-8.9,.5,,3.6,27.6,10.6,15.35,0
159,何魂,2018-02-07,-9.6,3.1,,3,31.4,10.7,15.54,0
159,何魂,2018-02-08,-4.5,6.8,,2.3,32,10.7,13.4,1.5
159,何魂,2018-02-09,0,10.9,.2,2.8,57.3,10.7,10.18,7.6
159,何魂,2018-02-10,1.1,11.6,,3.2,40.6,10.8,7.88,7.5
159,何魂,2018-02-11,-4.6,3.5,,4.5,35.6,10.8,13.63,2.4
159,何魂,2018-02-12,-4,3.5,,5.7,44.1,10.8,15.75,1.3
159,何魂,2018-02-13,-2.6,6.7,,4.3,42.5,10.9,15.64,0
159,何魂,2018-02-14,1.9,12.9,,7.1,59.5,10.9,12.7,4.5
159,何魂,2018-02-15,5.1,11.9,,2.2,55.6,10.9,10.18,7
159,何魂,2018-02-16,3.6,11.6,,2,51.3,11,8.2,6.1
159,何魂,2018-02-17,.2,9.5,,3.5,20.9,11,16.37,2.6
159,何魂,2018-02-18,.1,9.9,,2.4,26.9,11,11.46,7.1
159,何魂,2018-02-19,4.1,11.2,,1.8,39.3,11.1,9.3,7.5
159,何魂,2018-02-20,3.2,13.8,,2.3,32.6,11.1,13.78,4.1
159,何魂,2018-02-21,2.6,9.8,,3.3,33.6,11.1,11.14,5.5
159,何魂,2018-02-22,.2,8.9,,4.6,28.4,11.2,14.94,2.5
159,何魂,2018-02-23,1.9,12.3,,5.3,48.8,11.2,14.6,0
159,何魂,2018-02-24,5.5,14.7,,4,50.1,11.3,14.23,5.3
159,何魂,2018-02-25,5.6,13.9,0,2.2,73.9,11.3,8.83,7.4
159,何魂,2018-02-26,3.2,11.9,,2.7,53.1,11.3,15.49,0
159,何魂,2018-02-27,4.2,14.7,,2.6,59.8,11.3,12.71,4.5
159,何魂,2018-02-28,7.6,12.3,52.3,3.8,78.6,11.4,1.04,9.8
159,何魂,2018-03-01,2.7,12,,6.7,43.8,11.4,13.03,4.4
159,何魂,2018-03-02,-.7,9.8,,3.5,41.6,11.5,15.78,2.4
159,何魂,2018-03-03,4.1,16.4,,2.8,59.4,11.5,9.39,3.6
159,何魂,2018-03-04,10.2,15.4,39.1,3,82.1,11.5,3.22,8.3
159,何魂,2018-03-05,3.4,13.4,7.7,4.6,83.5,11.6,.46,8.9
159,何魂,2018-03-06,3.1,11.4,,4.1,59.5,11.6,12.83,5.1
159,何魂,2018-03-07,5,9.7,3.8,4.1,69.1,11.6,1.48,9.8
159,何魂,2018-03-08,4.2,6.3,23.5,3.6,86.8,11.7,1.52,9
159,何魂,2018-03-09,2.2,9.4,,2.3,69.3,11.7,4.67,7
159,何魂,2018-03-10,3.4,11.2,,3.2,63.3,11.8,8.17,4.1
159,何魂,2018-03-11,4.3,15.6,,3.4,41.9,11.8,16.54,0
159,何魂,2018-03-12,6,15.8,,3.4,56.6,11.8,15.45,0
159,何魂,2018-03-13,9.7,17.3,,5.7,71,11.9,13.35,.1
159,何魂,2018-03-14,12.4,19,,5,73.4,11.9,14.03,2.8
159,何魂,2018-03-15,10.1,15.6,62,4.9,92.3,11.9,1.52,9.9
159,何魂,2018-03-16,2.4,10.3,2.5,5.3,62.4,12,9.2,6.4
159,何魂,2018-03-17,2.3,10.8,,3.1,61.6,12,16.89,3.8
159,何魂,2018-03-18,4.9,16.4,5,1.6,77.1,12.1,9.13,7.8
159,何魂,2018-03-19,5.4,12.8,37.1,4.4,90.8,12.1,1.35,10
159,何魂,2018-03-20,3,8.5,3.4,6.6,65,12.1,3.66,9.9
159,何魂,2018-03-21,1,4.4,22,4.7,86.3,12.2,3.59,10
159,何魂,2018-03-22,2,14.3,,3.3,61,12.2,13.63,3.5
159,何魂,2018-03-23,4.7,15.6,,3.2,53.5,12.2,15.44,0
159,何魂,2018-03-24,6.6,18.5,,3.9,44.9,12.3,14.77,1.5
159,何魂,2018-03-25,8.8,19.4,,3.5,50.5,12.3,14.08,0
159,何魂,2018-03-26,12.1,21.4,,3.4,39.8,12.3,16.54,1
159,何魂,2018-03-27,11.4,21.1,,4.2,41.3,12.4,15.26,0
159,何魂,2018-03-28,11.5,19.4,,4.7,58,12.4,14.9,.3
159,何魂,2018-03-29,11.2,22.3,,3.2,61.4,12.4,12.38,1.4
159,何魂,2018-03-30,10.2,17.2,,4,52.4,12.5,17.2,0
159,何魂,2018-03-31,9,18.3,,2.6,49.4,12.5,15.71,0
159,何魂,2018-04-01,13.4,19.5,,4.6,64.1,12.6,10.96,5.5
159,何魂,2018-04-02,15.3,21.3,,4.8,76.4,12.6,15.47,.6
159,何魂,2018-04-03,15.6,21.5,,5.3,78,12.6,15.85,2.8
159,何魂,2018-04-04,8.5,17.6,5.9,3.4,85.5,12.7,1,10
159,何魂,2018-04-05,8.8,12.1,0,3.2,75.4,12.7,3.82,10
159,何魂,2018-04-06,6.6,16.4,21,4.2,64.4,12.7,9,7.3
159,何魂,2018-04-07,4.1,10.2,,6.6,37.1,12.8,17.61,4.5
159,何魂,2018-04-08,3,11.9,,5.7,52,12.8,19.87,1.9
159,何魂,2018-04-09,10.8,18.8,,4.1,60.9,12.8,16.81,4
159,何魂,2018-04-10,9.6,18.3,,6.5,76.4,12.9,10.75,6.4
159,何魂,2018-04-11,15.7,22.2,.2,6.6,55.6,12.9,17.46,6.1
159,何魂,2018-04-12,13,21.3,,3.2,29.1,13,9.53,6.5
159,何魂,2018-04-13,11.6,17.4,,3.4,40.6,13,6.95,8
159,何魂,2018-04-14,11.1,16.4,34.1,3.1,86.1,13,.7,9.9
159,何魂,2018-04-15,9.5,19.6,,2.9,51,13.1,17.61,3.8
159,何魂,2018-04-16,8.5,16.7,,3.2,58.5,13.1,13.54,5
159,何魂,2018-04-17,11,17.8,,2.4,70.8,13.1,12.14,4.6
159,何魂,2018-04-18,12.1,19.8,,3.7,56.9,13.2,17.81,0
159,何魂,2018-04-19,11.4,19.3,,4,51.1,13.2,18.32,0
159,何魂,2018-04-20,14.5,23.9,,2.4,44.6,13.2,19.32,0
159,何魂,2018-04-21,13.8,23.3,,3.9,54.6,13.3,23.1,2.9
159,何魂,2018-04-22,13.5,22.4,0,3.3,72.3,13.3,11.41,9.1
159,何魂,2018-04-23,11,13.5,34.8,4.2,88.9,13.3,1.61,10
159,何魂,2018-04-24,10.6,14.7,60.4,4.7,81.5,13.4,8.76,9.8
159,何魂,2018-04-25,8,18.6,,2.2,47.3,13.4,23.19,.4
159,何魂,2018-04-26,9.3,18.1,,2.5,61.8,13.4,18.87,5.6
159,何魂,2018-04-27,12.4,24.3,,2.8,53.5,13.5,17.04,2.9
159,何魂,2018-04-28,11.1,20.7,,3.5,63.9,13.5,23.16,0
159,何魂,2018-04-29,14.5,21.1,,5.6,66,13.5,22.21,2.8
159,何魂,2018-04-30,15.2,22.7,,5.2,67.6,13.6,17.25,3.8
159,何魂,2018-05-01,16.1,22.6,0,1.9,68.6,13.6,9.05,8.8
159,何魂,2018-05-02,13,17.5,17,2.5,91.6,13.6,1.22,8.6
159,何魂,2018-05-03,11.2,19.7,0,6.3,46.6,13.7,16.99,1.1
159,何魂,2018-05-04,10.2,18.5,,6.7,48.1,13.7,27.4,.3
159,何魂,2018-05-05,13.6,20.2,,6.6,59.9,13.7,25.06,5.6
159,何魂,2018-05-06,14.8,17.6,42,4.2,92.8,13.8,1.15,10
159,何魂,2018-05-07,13.9,16.7,30.7,2.3,90.9,13.8,4.94,9.5
159,何魂,2018-05-08,12.7,15.6,,4.6,72,13.8,5.66,9.3
159,何魂,2018-05-09,11.3,16.7,,3.5,64.9,13.8,15.66,6.9
159,何魂,2018-05-10,9.8,18.3,,2.9,71.5,13.9,23.36,1.6
159,何魂,2018-05-11,12.7,21.3,,4,57,13.9,17.85,4.5
159,何魂,2018-05-12,16.3,18.9,2.6,5.5,82.5,13.9,.22,9.9
159,何魂,2018-05-13,16.8,23.3,18.4,4.5,83.4,14,25.56,5.3
159,何魂,2018-05-14,16,23.1,,2.9,60.4,14,24.19,0
159,何魂,2018-05-15,18.7,25.1,,4.8,67.9,14,18.16,5.5
