년월일,총량(kw),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10)
2020-07-04,480.72,18.7,25.4,0.0,2.1,79.9,14.5,11.54,9.1
2020-07-05,787.44,19.1,25.9,,2.2,79.6,14.5,21.59,8.3
2020-07-06,211.2,21.2,25.6,0.8,1.7,90.6,14.4,6.11,9.9
2020-07-07,592.8,21.6,25.1,0.6,4.4,88.0,14.4,18.65,8.0
2020-07-08,933.12,21.3,28.1,,2.5,82.0,14.4,25.75,5.0
2020-07-09,519.12,20.6,25.5,2.1,2.1,87.6,14.4,9.47,9.1
2020-07-10,181.68,20.8,25.9,208.7,2.4,96.5,14.4,5.8,9.0
2020-07-11,501.84,20.2,24.3,,2.6,89.4,14.4,8.34,8.8
2020-07-12,181.44,18.7,21.4,37.5,2.7,91.3,14.4,4.46,10.0
2020-07-13,71.28,18.1,20.2,100.9,2.7,97.0,14.3,2.19,10.0
2020-07-14,265.2,18.7,20.7,5.2,1.5,93.0,14.3,5.91,10.0
2020-07-15,415.44,18.5,21.0,0.0,2.0,83.3,14.3,9.01,10.0
2020-07-16,950.88,18.7,24.2,,2.3,76.0,14.3,25.64,4.6
2020-07-17,1056.0,17.8,25.9,,2.6,75.0,14.3,29.69,1.0
2020-07-18,667.68,18.9,25.5,,2.3,78.6,14.2,18.17,8.0
2020-07-19,172.32,21.4,25.2,0.5,3.1,91.6,14.2,3.3,10.0
2020-07-20,302.64,23.7,26.4,1.1,7.1,89.8,14.2,9.14,9.1
2020-07-21,738.48,22.6,28.6,3.4,2.8,84.6,14.2,21.2,8.4
2020-07-22,215.76,21.4,23.9,105.3,1.3,95.6,14.2,5.74,10.0
2020-07-23,169.92,21.2,23.0,176.2,2.5,97.3,14.1,3.61,10.0
2020-07-24,474.24,20.1,24.1,2.3,5.6,88.5,14.1,14.57,8.9
2020-07-25,361.2,20.0,23.7,1.5,3.6,90.8,14.1,10.47,9.1
2020-07-26,1011.84,20.2,27.1,,3.0,80.6,14.1,26.98,4.3
2020-07-27,207.36,21.5,24.7,32.1,1.8,94.4,14.0,4.23,9.9
2020-07-28,163.44,21.5,22.8,46.5,1.5,96.6,14.0,3.69,10.0
2020-07-29,301.92,21.9,24.8,14.3,1.2,96.5,14.0,7.94,10.0
2020-07-30,386.88,22.0,27.9,50.0,2.8,91.5,14.0,13.13,8.9
2020-07-31,804.96,22.8,30.6,,2.5,84.0,13.9,22.12,7.4
