瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
159,何魂,2017-01-01,2.2,12.6,,2.6,58,9.9,10.63,1.9
159,何魂,2017-01-02,5.3,15.1,,2.7,55.4,9.9,10.12,2.3
159,何魂,2017-01-03,3.8,14.2,,2.6,46,9.9,11.13,0
159,何魂,2017-01-04,4.7,12.9,,2.3,44.4,9.9,8.79,4.6
159,何魂,2017-01-05,6,12.7,.7,3.5,71,9.9,5.33,8
159,何魂,2017-01-06,5.1,12.8,,2.9,58.9,9.9,9.2,3.9
159,何魂,2017-01-07,4.3,12.8,0,2.1,65.9,9.9,6.57,6.3
159,何魂,2017-01-08,7.4,12.9,4.6,2.9,76.1,9.9,4.85,8
159,何魂,2017-01-09,4.1,11.3,,3,52.3,10,9.34,1.4
159,何魂,2017-01-10,.8,7.7,,3.1,43.9,10,11.83,0
159,何魂,2017-01-11,-2.3,4.9,,2.7,33.1,10,11.31,2.1
159,何魂,2017-01-12,-.5,8.7,,5.1,46.1,10,9.43,3.8
159,何魂,2017-01-13,-1.9,6.7,0,4.7,39.4,10,10.09,2
159,何魂,2017-01-14,-6,2.5,,4.4,34.8,10,12.72,0
159,何魂,2017-01-15,-7.7,5.6,,4.4,25.5,10.1,12.91,0
159,何魂,2017-01-16,-3.5,8.3,,3.4,31.5,10.1,12.5,.4
159,何魂,2017-01-17,-.3,9.8,,1.1,44.3,10.1,8.79,4
159,何魂,2017-01-18,1.7,9.2,,3.2,42.1,10.1,8.14,5.9
159,何魂,2017-01-19,.2,10.5,,2.5,52,10.2,8.78,2.4
159,何魂,2017-01-20,-2.1,5.9,0,4.7,45.8,10.2,10.92,2.3
159,何魂,2017-01-21,-3.9,4.2,,4,43.9,10.2,10.66,2.8
159,何魂,2017-01-22,-4.1,5.1,,4.3,42.5,10.2,12.51,1.1
159,何魂,2017-01-23,-6.3,2.9,,3,34.4,10.2,13.18,0
159,何魂,2017-01-24,-5.3,4.4,,4.1,29.3,10.3,13.62,0
159,何魂,2017-01-25,-3.7,8.2,,3.3,26.3,10.3,13.81,0
159,何魂,2017-01-26,-1.7,9.2,,4.9,32.1,10.3,13.59,.9
159,何魂,2017-01-27,2.6,12.3,,5.1,36.9,10.3,10.86,4.4
159,何魂,2017-01-28,.5,12.1,,2.2,36.4,10.4,13.38,2.9
159,何魂,2017-01-29,6.6,9.3,5.9,1.6,82.1,10.4,.99,10
159,何魂,2017-01-30,-1.4,8.2,.8,4.7,50.4,10.4,12.27,1.9
159,何魂,2017-01-31,-2.2,9,,2.2,51.1,10.5,11.75,1.4
