瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
159,何魂,2016-01-01,1.1,10.9,,4.3,52.1,9.8,11.44,1.4
159,何魂,2016-01-02,4.6,12.2,,4,62.9,9.9,6.86,4.6
159,何魂,2016-01-03,7.9,16.6,,2.7,68.3,9.9,10.02,1.5
159,何魂,2016-01-04,7.6,15.2,,2.7,46.3,9.9,9.34,.8
159,何魂,2016-01-05,3.2,8.1,.2,3.1,40.9,9.9,2.19,7
159,何魂,2016-01-06,1.8,9.9,,2.9,34.5,9.9,8.8,5.6
159,何魂,2016-01-07,1.1,8.5,,2.7,47.3,9.9,11.11,.9
159,何魂,2016-01-08,-.5,6.9,,2.9,44.1,9.9,11.6,.8
159,何魂,2016-01-09,-.4,9.4,,2.8,46.1,9.9,11.36,0
159,何魂,2016-01-10,.5,10.1,,1.9,46.1,10,10.71,.4
159,何魂,2016-01-11,1.7,10.1,,3.2,27.6,10,10.3,4.6
159,何魂,2016-01-12,-.9,7.9,,4,26.4,10,12.12,1.1
159,何魂,2016-01-13,-2.2,6.9,,3,46.4,10,11.69,.3
159,何魂,2016-01-14,.2,8.3,,3,50.3,10,11.43,1.4
159,何魂,2016-01-15,-.5,10.6,,1.6,45.6,10,10.14,0
159,何魂,2016-01-16,2.3,10.4,,1.2,50.9,10.1,4.78,6.4
159,何魂,2016-01-17,5.1,10.3,14.2,3.2,77.4,10.1,1.73,9.5
159,何魂,2016-01-18,-4,6.9,,5.8,57.4,10.1,11.41,2.9
159,何魂,2016-01-19,-5.4,.7,,7.4,36.8,10.1,13.25,.1
159,何魂,2016-01-20,-6.6,2,,4,36.1,10.2,11.09,2.8
159,何魂,2016-01-21,-3.5,3.3,,3.8,29.9,10.2,5.93,6.8
159,何魂,2016-01-22,-2.7,6.7,,5.8,23.9,10.2,12.14,4.8
159,何魂,2016-01-23,-8.5,1.1,0,3.9,32,10.2,7.87,5
159,何魂,2016-01-24,-10.2,-4.2,0,4.2,45.4,10.2,13.4,1.9
159,何魂,2016-01-25,-8.2,2.4,,3.2,44.8,10.3,13.5,0
159,何魂,2016-01-26,-3.9,7.3,,4.2,49.4,10.3,13.09,0
159,何魂,2016-01-27,.7,9.2,,3.8,52.5,10.3,11.28,2.5
159,何魂,2016-01-28,2.1,6,24.3,2.5,69.9,10.4,1.27,10
159,何魂,2016-01-29,3.5,5.3,20.8,4.8,91.9,10.4,2.35,10
159,何魂,2016-01-30,4.5,8.7,,3.6,78.6,10.4,4.73,6.8
159,何魂,2016-01-31,1.4,7,,3.3,62.6,10.4,9.46,3.3
159,何魂,2016-02-01,-1.2,7.3,,5.2,34.3,10.5,13.74,2.9
159,何魂,2016-02-02,-4,7.9,,4.6,30.8,10.5,14.25,.8
159,何魂,2016-02-03,-2.8,7.5,,4,37.3,10.5,15.21,0
159,何魂,2016-02-04,-.8,7.3,,2.6,41,10.6,11.15,3.9
159,何魂,2016-02-05,.3,10.1,,2.8,29.4,10.6,14.73,.6
159,何魂,2016-02-06,-.7,7,,3.6,37.8,10.6,14.78,.1
159,何魂,2016-02-07,-1.7,9.4,,3,43.6,10.7,14.26,4
159,何魂,2016-02-08,-1.2,8.8,,4.7,39.9,10.7,15.04,0
159,何魂,2016-02-09,3.4,11.9,,4.3,31.5,10.7,15.55,0
159,何魂,2016-02-10,1.3,11.8,,2.2,40.4,10.8,15.55,0
159,何魂,2016-02-11,4,14.7,,2,63.9,10.8,11.75,5.5
159,何魂,2016-02-12,9.7,13.9,32.7,2.8,90.9,10.8,.71,10
159,何魂,2016-02-13,12.5,15.8,28.9,3,98.8,10.9,1.58,9.3
159,何魂,2016-02-14,-.4,15.2,,5.1,59,10.9,11.48,5.8
159,何魂,2016-02-15,-3.5,4.2,,4.6,40.6,10.9,17.2,1
159,何魂,2016-02-16,-2.3,6.3,,5.7,52.3,10.9,15.25,2.6
159,何魂,2016-02-17,-.6,9.6,,3.4,41.8,11,17.2,0
159,何魂,2016-02-18,.3,9.9,,4.5,49.4,11,15.81,1.6
159,何魂,2016-02-19,5.7,14.8,,3.5,51.1,11,12.71,6.5
159,何魂,2016-02-20,3.8,11.6,1.4,3,56.1,11.1,7.34,7.4
159,何魂,2016-02-21,-.2,8.9,,3,33,11.1,17.92,1
159,何魂,2016-02-22,3.1,10.4,,2.5,44.4,11.2,8.91,10
159,何魂,2016-02-23,3.9,12.8,,2.8,37.4,11.2,14.19,6.5
159,何魂,2016-02-24,-.5,8.4,,3.5,49.3,11.2,13.38,5.3
159,何魂,2016-02-25,-2.1,8.8,,3.6,34.9,11.3,17.98,0
159,何魂,2016-02-26,1.3,10.6,,4,52.4,11.3,13.93,4.9
159,何魂,2016-02-27,7.4,15.6,,4.4,54.1,11.3,15.65,2.6
159,何魂,2016-02-28,6.5,15.2,.7,4.4,70,11.4,11.18,4.6
159,何魂,2016-02-29,-2.5,6.7,0,4.5,41,11.4,13.47,2.6
159,何魂,2016-03-01,-4.3,7.7,,3.4,38.8,11.4,19.02,0
159,何魂,2016-03-02,.1,11.4,,3.9,42,11.5,18.64,0
159,何魂,2016-03-03,5.9,17.2,,4.7,62.4,11.5,18.37,1.3
159,何魂,2016-03-04,10.6,12.4,35.7,1.9,96.9,11.5,1.12,10
159,何魂,2016-03-05,10.5,16.4,1.6,4,86.8,11.6,4.86,10
159,何魂,2016-03-06,11.7,17.1,32.7,3.2,98.6,11.6,4.67,8.6
159,何魂,2016-03-07,7.8,16.2,,3,68.4,11.7,16.1,.5
159,何魂,2016-03-08,5.1,13.4,6.6,2.7,66.6,11.7,3.36,9.8
159,何魂,2016-03-09,2.6,13.4,13.6,3.5,70.5,11.7,12.74,6.5
159,何魂,2016-03-10,2.1,10.8,,3.7,37.8,11.8,15.64,4.8
159,何魂,2016-03-11,-.8,10,,3.8,41.5,11.8,20.99,0
159,何魂,2016-03-12,.7,10.3,,3.3,35.9,11.8,20.71,2.1
159,何魂,2016-03-13,5.2,10.7,,1.6,44.6,11.9,6.62,9.5
159,何魂,2016-03-14,4.1,14.3,,3.1,57.8,11.9,13.06,2.3
159,何魂,2016-03-15,3.2,12.3,,2.9,49.5,12,19.67,3.3
159,何魂,2016-03-16,7.3,16.2,,3.6,45.9,12,17.65,4.1
159,何魂,2016-03-17,7.8,16.9,,3,57.4,12,19.35,3.6
159,何魂,2016-03-18,11.5,13.4,38.7,1.9,97.9,12.1,1,9.5
159,何魂,2016-03-19,10.4,19.4,,3.2,66.6,12.1,18.29,2.8
159,何魂,2016-03-20,8.6,14.2,,3.2,60.9,12.1,13.63,7.9
159,何魂,2016-03-21,7.3,14.8,,2.8,59.6,12.2,21.36,2.4
159,何魂,2016-03-22,7.1,16.8,,3.2,60.1,12.2,20.79,2.9
159,何魂,2016-03-23,8.2,15.1,0,3.2,66.5,12.3,17.02,6.4
159,何魂,2016-03-24,5.4,13.5,0,3.8,58.1,12.3,15.09,6.6
159,何魂,2016-03-25,6.3,11.7,0,2.4,58.8,12.3,11.17,7.9
159,何魂,2016-03-26,5.6,11.1,4.6,1.8,78,12.4,8.05,6
159,何魂,2016-03-27,4.3,16.2,,3.7,58.3,12.4,19.68,1.6
159,何魂,2016-03-28,6.7,18.3,,4.4,41.6,12.4,21.93,0
159,何魂,2016-03-29,10.1,16.3,,6.1,57.8,12.5,13.21,5.1
159,何魂,2016-03-30,12.4,19.6,,3.7,64.3,12.5,19.2,4.4
159,何魂,2016-03-31,11.1,19.3,,1.9,69.9,12.5,14.32,4.5
159,何魂,2016-04-01,11,22,,2,59.6,12.6,21.92,0
159,何魂,2016-04-02,11.4,18.8,,2.9,76.9,12.6,15.39,4.3
159,何魂,2016-04-03,11.5,18,.9,2.6,86.8,12.7,3.56,9.8
159,何魂,2016-04-04,10.5,13.6,3.8,2.9,84.5,12.7,4.5,9.5
159,何魂,2016-04-05,10.8,19.5,,3.5,65.5,12.7,19.54,3.6
159,何魂,2016-04-06,11,20.9,18.2,2.6,60.6,12.8,14.09,7.6
159,何魂,2016-04-07,11.4,16.5,47.4,2.4,93.8,12.8,5.53,9
159,何魂,2016-04-08,12.4,21.7,,2.8,61.8,12.8,20.66,3.4
159,何魂,2016-04-09,13.1,22.6,,2.8,50.6,12.9,22.1,4
159,何魂,2016-04-10,11.3,18.9,,3,58.8,12.9,18.7,5.1
159,何魂,2016-04-11,9.1,14,0,3.6,65.5,12.9,11.3,7
159,何魂,2016-04-12,8,15.9,,2.3,64.3,13,17.7,7.1
159,何魂,2016-04-13,14,16,14.8,2,93.9,13,1.96,9.5
159,何魂,2016-04-14,13.2,21.4,,3.2,66.8,13.1,23.52,.9
159,何魂,2016-04-15,11.5,18.1,,3.1,56.8,13.1,24.81,.4
159,何魂,2016-04-16,10.5,19.2,36.6,2.3,77.5,13.1,10.56,8.1
159,何魂,2016-04-17,13.4,20.9,8,7.8,49.3,13.2,25.65,3.1
