瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
159,何魂,2013-01-01,-2.8,8,,3.1,48.5,9.9,8.99,3.4
159,何魂,2013-01-02,-5.9,3.6,,4,40.9,9.9,10.3,1.5
159,何魂,2013-01-03,-7.7,-1,,3.9,26.3,9.9,10.77,2.8
159,何魂,2013-01-04,-8.1,2.8,,3.7,24.6,9.9,11.36,.3
159,何魂,2013-01-05,-3.8,3.4,,3.4,26.4,9.9,11.14,.8
159,何魂,2013-01-06,-2.8,6.6,,3.9,33.6,9.9,11.1,3.4
159,何魂,2013-01-07,-2,7.1,,3.7,17.6,9.9,11.58,.9
159,何魂,2013-01-08,-1.9,7,,2.7,27.1,9.9,10.78,.3
159,何魂,2013-01-09,-4,2.5,,3.1,25.5,9.9,11.21,1.3
159,何魂,2013-01-10,-5.8,4.5,,3.9,22.4,10,12.23,0
159,何魂,2013-01-11,-5.3,7.7,,3.1,23.8,10,11.85,2.1
159,何魂,2013-01-12,1.6,11.3,,3.1,40.3,10,11.17,1.4
159,何魂,2013-01-13,1.4,8.1,,3,51,10,3.42,9.1
159,何魂,2013-01-14,2.1,11,,3.7,43.1,10,10.88,.5
159,何魂,2013-01-15,.7,10.1,,2.1,49.1,10.1,10.21,2
159,何魂,2013-01-16,.9,10.3,,2.6,46.8,10.1,10.22,1.8
159,何魂,2013-01-17,-2,5.1,0,3.2,48.9,10.1,8.34,2.9
159,何魂,2013-01-18,-4.3,6.8,,4,32.1,10.1,12.41,0
159,何魂,2013-01-19,-2.7,8.4,,3.1,39.8,10.1,11.85,.4
159,何魂,2013-01-20,1,11,,2,49.6,10.2,8.32,7.1
159,何魂,2013-01-21,7.1,9,20.5,2.4,83.3,10.2,.76,10
159,何魂,2013-01-22,5.3,9,2,3.3,76,10.2,4.09,10
159,何魂,2013-01-23,4.4,8.3,,3.5,72.3,10.2,5.73,9.8
159,何魂,2013-01-24,1,6.9,,4.2,56.6,10.3,8.56,2.8
159,何魂,2013-01-25,-3.1,4.8,,3.8,26.5,10.3,13.34,0
159,何魂,2013-01-26,-4.6,3.7,,3.3,24.9,10.3,14.02,0
159,何魂,2013-01-27,-5.4,3.2,,3.2,33.3,10.3,13.16,.5
159,何魂,2013-01-28,-4.7,7.6,,2.8,33,10.4,13.83,0
159,何魂,2013-01-29,-.1,10.4,,1.8,48.8,10.4,11.34,3.6
159,何魂,2013-01-30,2.8,13.1,,1.2,55,10.4,11.25,3.1
159,何魂,2013-01-31,5.3,13.3,,1.4,63.8,10.5,7.04,7.9
159,何魂,2013-02-01,9.5,13.4,25.5,4.9,84.6,10.5,.25,8.3
159,何魂,2013-02-02,3.4,13.5,,2.7,39.5,10.5,12.88,2
159,何魂,2013-02-03,.4,9,1,1.9,48.4,10.5,7.6,7
159,何魂,2013-02-04,3.6,11.9,3.5,2.4,67.5,10.6,9.22,6.8
159,何魂,2013-02-05,3.5,8.8,3.5,3.8,66.9,10.6,2.92,9
159,何魂,2013-02-06,1.1,9.3,,3.6,64.6,10.6,14.52,4.3
159,何魂,2013-02-07,-7.9,3.2,,4,34.3,10.7,11.19,4.4
159,何魂,2013-02-08,-10.7,2.8,,3.3,31.3,10.7,14.24,3.8
159,何魂,2013-02-09,-4.5,5.2,,3.6,28.1,10.7,14.28,2.3
159,何魂,2013-02-10,-3.2,8.4,,3.7,36.4,10.8,14.29,0
159,何魂,2013-02-11,-1.9,7.3,,2.2,38.8,10.8,14.61,.9
159,何魂,2013-02-12,-.8,6.6,.1,2.3,61.3,10.8,3.37,8.1
159,何魂,2013-02-13,-2.6,7.7,,2.8,37,10.9,15.64,2.5
159,何魂,2013-02-14,1.8,10.2,,2.4,30.5,10.9,12.27,7.6
159,何魂,2013-02-15,.9,10.5,,3.3,21.4,10.9,14.79,3.4
159,何魂,2013-02-16,-3.2,8.4,,3.4,24.3,11,16.92,.4
159,何魂,2013-02-17,1,8.2,2.5,.9,59.3,11,4.01,9.1
159,何魂,2013-02-18,4.9,7.1,10.5,2.4,76.8,11,1.95,10
159,何魂,2013-02-19,.1,6.4,,2.3,47,11.1,6.74,6.4
159,何魂,2013-02-20,-3.3,7.2,,2.5,20,11.1,17.71,0
159,何魂,2013-02-21,-1.5,8.6,,2.4,27.5,11.1,16.42,2.5
159,何魂,2013-02-22,1.8,10.6,,3.1,32.3,11.2,14.95,4
159,何魂,2013-02-23,-1,8.3,,2.5,28.5,11.2,18.29,0
159,何魂,2013-02-24,-.8,10.5,,3,27.1,11.3,16.81,2.9
159,何魂,2013-02-25,3.2,12.3,,2.4,27.6,11.3,16.78,2.6
159,何魂,2013-02-26,6,10.8,0,1.6,56,11.3,.17,8.4
159,何魂,2013-02-27,5.4,17.2,,2.4,51.5,11.4,13.38,1.4
159,何魂,2013-02-28,7.1,16.4,,2.8,40.3,11.4,16.95,3.1
159,何魂,2013-03-01,1.1,14.2,8,5.4,52.3,11.4,8.6,6.6
159,何魂,2013-03-02,-2,8.6,,3.9,42.8,11.5,17.99,1.4
159,何魂,2013-03-03,1.5,12.1,,2.8,28.3,11.5,19.01,.3
159,何魂,2013-03-04,1.6,11.8,,3.2,30.8,11.5,16.62,.3
159,何魂,2013-03-05,3.6,13.6,,4.6,34.3,11.6,19.53,0
159,何魂,2013-03-06,5.3,16.4,,5.3,34.6,11.6,16.89,0
159,何魂,2013-03-07,10.8,15.1,.3,6.1,67.3,11.6,6.83,4.5
159,何魂,2013-03-08,8,17.4,,3.9,56,11.7,13.24,2.4
159,何魂,2013-03-09,9.4,17.8,,4.8,60.4,11.7,16.53,0
159,何魂,2013-03-10,8.3,16.1,,3.8,62.3,11.8,16.43,4
159,何魂,2013-03-11,4.6,13.4,,2.7,53.8,11.8,15.46,1.5
159,何魂,2013-03-12,5.8,15.1,1.5,4.5,64.9,11.8,17.99,3.4
159,何魂,2013-03-13,5.2,16.7,16.5,6.6,80,11.9,1.16,9.9
159,何魂,2013-03-14,3.5,9.3,,3.3,59.3,11.9,11.88,6.6
159,何魂,2013-03-15,3.5,13.4,,3.8,58.8,11.9,20.37,.6
159,何魂,2013-03-16,8.5,17.6,,2.8,37.6,12,17.04,2
159,何魂,2013-03-17,7.6,16.2,24,3,64.5,12,12.83,7
159,何魂,2013-03-18,10.9,16.2,42,5.3,78,12.1,15.3,5.1
159,何魂,2013-03-19,9.7,16.2,,3.6,65.5,12.1,16.03,3.8
