년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),"최대(시간별, kw)","최소(시간별, kw)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2013-01-01,1,988.74,41,198.18,0,198.18,0.108,0,0,0,0,0,0,0,0.36,19.944,54.144,132.84,197.1,158.508,198.18,147.708,65.196,14.652,0.108,0,0,0,0,0,0
2013-01-02,1,1267.92,53,265.644,0,265.644,0.036,0,0,0,0,0,0,0,0.36,20.736,87.084,159.948,247.284,265.644,234.396,160.884,77.148,14.4,0.036,0,0,0,0,0,0
2013-01-03,1,1259.316,52,271.584,0,271.584,0.18,0,0,0,0,0,0,0,0.18,21.168,80.748,149.508,213.876,271.584,266.004,177.912,63.288,14.832,0.216,0,0,0,0,0,0
2013-01-04,1,1386.864,58,286.02,0,286.02,0.072,0,0,0,0,0,0,0,0.252,20.592,96.552,160.2,259.704,286.02,265.824,185.292,93.78,18.576,0.072,0,0,0,0,0,0
2013-01-05,1,1408.356,59,297.612,0,297.612,0.144,0,0,0,0,0,0,0,0.18,22.464,110.628,200.844,277.92,297.612,268.632,130.392,79.488,20.052,0.144,0,0,0,0,0,0
2013-01-06,1,1269.324,53,251.28,0,251.28,0.36,0,0,0,0,0,0,0,0.36,21.348,83.376,167.472,219.96,242.46,251.28,173.988,89.064,19.368,0.648,0,0,0,0,0,0
2013-01-07,1,1420.524,59,278.316,0,278.316,0.18,0,0,0,0,0,0,0,0.18,26.28,107.676,190.368,261.684,278.316,259.056,183.672,93.924,18.972,0.396,0,0,0,0,0,0
2013-01-08,1,1310.904,55,262.764,0,262.764,0.432,0,0,0,0,0,0,0,0.432,21.744,90,168.768,243.108,262.764,245.52,171.504,86.652,19.98,0.432,0,0,0,0,0,0
2013-01-09,1,1382.976,58,284.652,0,284.652,0.288,0,0,0,0,0,0,0,0.504,20.412,85.608,159.732,262.404,284.652,259.38,188.064,98.964,22.968,0.288,0,0,0,0,0,0
2013-01-10,1,1508.112,63,296.136,0,296.136,0.216,0,0,0,0,0,0,0,0.216,29.052,112.968,189.108,275.436,296.136,275.112,199.8,105.588,24.372,0.324,0,0,0,0,0,0
