瘤痢,瘤痢疙,老矫,弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%),啊炼矫埃(hr),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10)
159,何魂,2015-01-01,-4.9,1.2,,4.3,35.4,9.8,11.56,.4
159,何魂,2015-01-02,-4.6,3.7,,3.4,41.3,9.9,10.38,.1
159,何魂,2015-01-03,-3.8,7.9,,4.1,32,9.9,11.27,2.8
159,何魂,2015-01-04,2.1,13,,2.6,53.8,9.9,10.04,1.1
159,何魂,2015-01-05,2.9,13.4,.5,1.8,67.4,9.9,7.31,6.5
159,何魂,2015-01-06,1.8,13.5,26,4.4,48.8,9.9,10.62,3.1
159,何魂,2015-01-07,-1.2,6.1,,3.4,24,9.9,12.61,2.5
159,何魂,2015-01-08,-3.6,6.2,,3.7,33.8,9.9,12.05,0
159,何魂,2015-01-09,-.8,7.4,,2.7,44.5,9.9,11.45,0
159,何魂,2015-01-10,-.3,8.8,,2.4,42.3,10,12,0
159,何魂,2015-01-11,1,10.6,,4.4,41.9,10,10.74,0
159,何魂,2015-01-12,-2,9.4,,2.6,45.1,10,11.48,.3
159,何魂,2015-01-13,1.5,11.8,,1.1,58,10,10.51,4.6
159,何魂,2015-01-14,5.5,8.2,5,1.3,81.5,10,2.24,10
159,何魂,2015-01-15,4.9,11.4,3.5,2.6,76.5,10.1,6.95,5.4
159,何魂,2015-01-16,3.5,10.8,,3.1,62.9,10.1,9.97,3.9
159,何魂,2015-01-17,.6,8,,4.8,32.6,10.1,12.71,.6
159,何魂,2015-01-18,-.4,8.9,,4.7,35,10.1,13.09,2.3
159,何魂,2015-01-19,2.6,10.8,,4.8,47.3,10.1,10.96,1
159,何魂,2015-01-20,-.2,10.4,,2,59,10.2,11.61,3.8
159,何魂,2015-01-21,5.3,10.3,3,2,79.5,10.2,3.15,10
159,何魂,2015-01-22,4.3,8.6,2.5,2.7,76.4,10.2,3.78,9.3
159,何魂,2015-01-23,1.6,10.4,,3.3,58.1,10.2,12.19,.6
159,何魂,2015-01-24,1.1,11.4,,2.8,59.5,10.3,12.93,0
159,何魂,2015-01-25,4.3,12.3,.1,1.5,70.4,10.3,6.31,7.6
159,何魂,2015-01-26,8.3,13.9,9.5,2.3,89.8,10.3,6.71,7.4
159,何魂,2015-01-27,1.5,9.5,,3.3,49.4,10.3,8.45,4.3
159,何魂,2015-01-28,-1,8.7,,3.8,52.5,10.4,10.91,3.1
159,何魂,2015-01-29,2.2,8.1,.5,2.9,70.3,10.4,3.03,8.6
159,何魂,2015-01-30,-.4,8.4,.1,4.2,50.4,10.4,10.86,4
159,何魂,2015-01-31,-3.4,7.1,,4.2,35.5,10.5,14.54,0
159,何魂,2015-02-01,-1.7,10,,2.4,33.8,10.5,14.55,0
159,何魂,2015-02-02,.8,10.4,,1.9,53.9,10.5,9.56,2.4
159,何魂,2015-02-03,2.1,11.5,,1.8,59.5,10.5,11.48,4.4
159,何魂,2015-02-04,2.3,9.9,1,2.3,63.6,10.6,6.46,6.5
159,何魂,2015-02-05,.2,8.9,,2.9,48.5,10.6,13.37,1.6
159,何魂,2015-02-06,-.7,10.6,,3.3,47.1,10.6,14.78,1.3
159,何魂,2015-02-07,2.3,10.3,,3.5,50.8,10.7,13.05,5.9
159,何魂,2015-02-08,-5.2,4.7,,4.5,30.3,10.7,15.81,1.9
159,何魂,2015-02-09,-7.8,3,,4.5,32.9,10.7,15.84,0
159,何魂,2015-02-10,-.9,9.1,,5.2,48.6,10.8,13.76,0
159,何魂,2015-02-11,2.3,10.4,,4.6,57.6,10.8,12.5,2.4
159,何魂,2015-02-12,.5,9.8,,3.8,40.9,10.8,15.26,.9
159,何魂,2015-02-13,-2.8,8.5,,3,29.8,10.9,15.75,.1
159,何魂,2015-02-14,-.8,11.3,,3,47.3,10.9,15.81,0
159,何魂,2015-02-15,5.1,10.5,2.5,2.6,67.9,10.9,3.17,8.3
159,何魂,2015-02-16,6.1,7.6,3.5,3.6,90.3,11,1.39,10
159,何魂,2015-02-17,3.4,11.6,,3,64.6,11,14.28,1.5
159,何魂,2015-02-18,1.9,9.4,,4,56.1,11,14.5,1.4
159,何魂,2015-02-19,.7,11.5,,3.1,63.9,11.1,11.78,1.8
159,何魂,2015-02-20,2.3,11.2,,2.7,59,11.1,15.8,2.5
159,何魂,2015-02-21,5.5,10.5,13,2.7,85.1,11.1,1.59,9.8
159,何魂,2015-02-22,6,15.4,4.5,4.2,82.3,11.2,7.31,6.8
159,何魂,2015-02-23,2.9,13.6,,3.4,49.4,11.2,13.32,4.6
159,何魂,2015-02-24,3.9,13.9,,2.8,43.3,11.2,14.24,3.6
159,何魂,2015-02-25,6.2,12.9,,2,59.9,11.3,9.14,8.3
159,何魂,2015-02-26,2.5,14.9,,3.8,45.8,11.3,12.58,3.8
159,何魂,2015-02-27,-1.5,6.4,,3.4,38.1,11.3,10.13,4.6
159,何魂,2015-02-28,2.9,7.9,6,3.5,66.5,11.4,4.09,8.9
159,何魂,2015-03-01,2.2,9.6,2.5,2.6,70.4,11.4,13.62,5.1
159,何魂,2015-03-02,.9,10.2,,3.3,46.1,11.5,18.93,0
159,何魂,2015-03-03,2.8,6.8,7.5,2.5,83,11.5,1.98,7.6
159,何魂,2015-03-04,-.4,7.7,,4.5,38.9,11.5,18.98,3.6
159,何魂,2015-03-05,-2,9.5,,3.2,47.8,11.6,16.87,4
159,何魂,2015-03-06,3.5,10.8,,3.1,58.5,11.6,15.4,3.5
159,何魂,2015-03-07,3.9,12.8,,2,63.8,11.6,16.45,2.3
159,何魂,2015-03-08,4.2,13,,2.5,62.6,11.7,18.79,3.1
159,何魂,2015-03-09,-.2,17,0,4.3,41.1,11.7,16.35,4.3
159,何魂,2015-03-10,-4.1,6.3,,5.5,26.9,11.7,21,0
159,何魂,2015-03-11,-1.2,8.5,,5.5,39.6,11.8,20.07,.1
159,何魂,2015-03-12,1.1,10,,5.6,35.6,11.8,20.45,0
159,何魂,2015-03-13,5.8,12,11,5.6,66.9,11.9,10.54,6
159,何魂,2015-03-14,4.1,13.5,,2.8,41.9,11.9,19.98,2.6
159,何魂,2015-03-15,6.5,15.3,,3.1,46.3,11.9,16.79,4.5
159,何魂,2015-03-16,7.5,18.4,,1.5,50,12,16.9,3.3
159,何魂,2015-03-17,9.7,19,,2.6,55.9,12,16.86,3.4
159,何魂,2015-03-18,9.1,14.7,45,3.4,90,12,1.39,10
159,何魂,2015-03-19,8.7,17.8,2.5,2.6,86.5,12.1,14.57,6.3
159,何魂,2015-03-20,9.9,18.9,,2.6,75.1,12.1,14.09,6.1
159,何魂,2015-03-21,10.8,20.9,,3.8,51.8,12.2,19.28,2.1
159,何魂,2015-03-22,10.9,20.4,,3.6,25.8,12.2,20.39,0
159,何魂,2015-03-23,4.7,14.7,,3.6,25.8,12.2,22.78,0
159,何魂,2015-03-24,3.3,12.4,,3.2,41,12.3,21.16,0
159,何魂,2015-03-25,4.9,13.8,,2.9,47.6,12.3,21.44,0
159,何魂,2015-03-26,7.3,15.6,,4.4,41.4,12.3,22.3,0
159,何魂,2015-03-27,9.4,19.3,,4.4,36.8,12.4,19.11,4.4
159,何魂,2015-03-28,9.2,18.7,,4.3,50.9,12.4,18.64,4.4
159,何魂,2015-03-29,10.7,20.7,,2.8,61.9,12.4,19.49,1
159,何魂,2015-03-30,11,20.1,,3.1,67.1,12.5,21.2,0
159,何魂,2015-03-31,13,16.2,8,2.7,90,12.5,3.06,7.6
159,何魂,2015-04-01,10.5,16.3,.4,3.7,86.3,12.6,3.4,9.6
159,何魂,2015-04-02,10.6,17.4,4.5,4.1,86.1,12.6,6.95,9.4
159,何魂,2015-04-03,11.7,20.7,31,6.7,83.3,12.6,13.25,9.4
159,何魂,2015-04-04,8.1,15.1,47,4.6,78.4,12.7,14.91,7.8
159,何魂,2015-04-05,8.4,12.6,5,2.6,90.4,12.7,5.08,10
159,何魂,2015-04-06,10,12.9,11.5,2.2,91.4,12.7,3.73,10
159,何魂,2015-04-07,8.8,12.3,,3.6,72,12.8,8.34,9.9
159,何魂,2015-04-08,6.7,10.9,,3,71.3,12.8,8.07,7.8
159,何魂,2015-04-09,5.9,14.5,,3.4,64.6,12.8,22.88,5.4
159,何魂,2015-04-10,8.3,17.6,,3.4,60,12.9,20.63,2.6
159,何魂,2015-04-11,7.8,17.6,,2.8,56.5,12.9,24.63,.4
159,何魂,2015-04-12,9.8,18.1,1.5,3.9,60,12.9,14.04,8.1
159,何魂,2015-04-13,10,13.5,14,4.5,90.6,13,4.75,10
159,何魂,2015-04-14,8.4,14.9,12,5,72.3,13,22.64,4.9
159,何魂,2015-04-15,7.8,19.6,,5.2,58.8,13.1,23.02,1.4
159,何魂,2015-04-16,9.9,19,.1,5.6,66.4,13.1,14.84,5
159,何魂,2015-04-17,8.2,19,,4,34.9,13.1,24.6,1.8
159,何魂,2015-04-18,10.8,20.1,8,2.3,49.5,13.2,17.24,6.5
159,何魂,2015-04-19,14,17.2,87.5,2.4,99.9,13.2,1.25,10
159,何魂,2015-04-20,9.4,15.2,8.5,2.9,91.6,13.2,2.33,10
159,何魂,2015-04-21,8.1,16.5,,2.1,69.1,13.3,24.03,2.3
159,何魂,2015-04-22,12.4,21.9,,3.5,49.6,13.3,23.93,3.1
159,何魂,2015-04-23,13.3,20.6,,4,40.5,13.3,20.87,3.5
159,何魂,2015-04-24,12.2,21.9,,3.2,57.3,13.4,19.65,5.8
159,何魂,2015-04-25,15,21.1,,2.9,39,13.4,25.22,0
159,何魂,2015-04-26,14.1,22.6,,3.7,50,13.4,25.78,0
159,何魂,2015-04-27,15,23.9,,4.3,50.3,13.5,23.57,1.8
159,何魂,2015-04-28,15.1,23,2,2,77.3,13.5,14.86,8.4
159,何魂,2015-04-29,14.7,17.4,35,2.6,94,13.5,2.4,10
159,何魂,2015-04-30,14.1,20.3,,2.2,83.4,13.6,7.18,7.8
159,何魂,2015-05-01,15.3,23.3,,2.2,73.4,13.6,25.33,0
159,何魂,2015-05-02,15.8,23.9,,2.1,71.3,13.6,23.94,3.8
159,何魂,2015-05-03,16,18.9,42,2.1,98.3,13.7,1.62,10
159,何魂,2015-05-04,15.3,25.5,,2.6,60,13.7,24.27,4.9
159,何魂,2015-05-05,12.3,21,,3.8,41,13.7,27.79,.3
159,何魂,2015-05-06,13.9,19.1,,3.2,57,13.7,14.63,7.4
159,何魂,2015-05-07,14.8,22.5,,3.1,48.8,13.8,25.28,2.3
159,何魂,2015-05-08,15.7,23.3,,2,48.4,13.8,22.89,4.5
159,何魂,2015-05-09,15.9,21.9,.2,2.4,64.1,13.8,20.19,4.9
159,何魂,2015-05-10,13.8,19.4,,3.3,71.4,13.9,25.26,1.5
159,何魂,2015-05-11,13.6,20.6,68.5,2.7,79.9,13.9,10,8.6
159,何魂,2015-05-12,13.9,18.6,37.5,6.9,79.8,13.9,18.03,5
159,何魂,2015-05-13,15,22.6,,7.9,58.3,14,27.13,0
159,何魂,2015-05-14,15.7,21.1,,6.4,88,14,9.96,7.5
159,何魂,2015-05-15,15,22.3,.5,2.2,91.4,14,16.36,8.4
159,何魂,2015-05-16,14.1,19,.3,2.8,87.5,14,21.07,4.4
159,何魂,2015-05-17,14.6,24.1,,2,51.6,14.1,22.42,5.5
159,何魂,2015-05-18,13.5,18.6,30,1.9,85.8,14.1,3.19,9.9
159,何魂,2015-05-19,14,23.6,,3.4,80.6,14.1,26.93,.4
159,何魂,2015-05-20,14.3,23.6,,2.8,60,14.1,26.98,1.3
159,何魂,2015-05-21,14,23.5,,3.6,54.3,14.1,27.56,2.1
159,何魂,2015-05-22,17.6,25.1,,3.4,49.1,14.2,25.31,6.1
159,何魂,2015-05-23,16.1,22.7,,3,55.4,14.2,13.34,7.5
159,何魂,2015-05-24,15.8,23.9,,2.4,54.5,14.2,25.35,3.1
159,何魂,2015-05-25,16.4,24.3,,2.9,65.1,14.2,26.26,0
159,何魂,2015-05-26,16.8,30.2,,2.8,58.5,14.2,27.19,.8
159,何魂,2015-05-27,18.3,26.3,,2.1,64.1,14.3,25.54,4.5
159,何魂,2015-05-28,18.3,26.5,,1.9,61.9,14.3,20.49,5.1
159,何魂,2015-05-29,17.8,27.4,,1.9,60.5,14.3,27.18,2.5
159,何魂,2015-05-30,17.7,21.5,4,1.8,88.5,14.3,7.04,7.4
